>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=9 | mean r=0.078
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=10 | mean r=0.091
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=11 | mean r=0.091
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=12 | mean r=0.123
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=13 | mean r=0.140
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=14 | mean r=0.152
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=15 | mean r=0.172
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=16 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=17 | mean r=0.167
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=18 | mean r=0.164
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=19 | mean r=0.161
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=20 | mean r=0.162
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=21 | mean r=0.158
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=22 | mean r=0.159
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=23 | mean r=0.163
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=24 | mean r=0.174
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=25 | mean r=0.187
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=26 | mean r=0.183
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=27 | mean r=0.195
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=28 | mean r=0.201
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=29 | mean r=0.203
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=30 | mean r=0.194
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=31 | mean r=0.183
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=32 | mean r=0.188
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=33 | mean r=0.180
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=34 | mean r=0.186
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=35 | mean r=0.185
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=36 | mean r=0.183
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=37 | mean r=0.181
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=38 | mean r=0.185
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=39 | mean r=0.181
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=40 | mean r=0.179
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=41 | mean r=0.174
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=42 | mean r=0.175
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=43 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=44 | mean r=0.164
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=45 | mean r=0.164
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=46 | mean r=0.154
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=47 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=48 | mean r=0.159


[WITHIN-SPLIT] Processing all (6/6)
WITHIN-SPLIT xglm_large | fROI=all | layer=0 | mean r=0.045
WITHIN-SPLIT xglm_large | fROI=all | layer=1 | mean r=0.026
WITHIN-SPLIT xglm_large | fROI=all | layer=2 | mean r=0.016
WITHIN-SPLIT xglm_large | fROI=all | layer=3 | mean r=0.009
WITHIN-SPLIT xglm_large | fROI=all | layer=4 | mean r=0.011
WITHIN-SPLIT xglm_large | fROI=all | layer=5 | mean r=0.030
WITHIN-SPLIT xglm_large | fROI=all | layer=6 | mean r=0.049
WITHIN-SPLIT xglm_large | fROI=all | layer=7 | mean r=0.078
WITHIN-SPLIT xglm_large | fROI=all | layer=8 | mean r=0.099
WITHIN-SPLIT xglm_large | fROI=all | layer=9 | mean r=0.104
WITHIN-SPLIT xglm_large | fROI=all | layer=10 | mean r=0.121
WITHIN-SPLIT xglm_large | fROI=all | layer=11 | mean r=0.120
WITHIN-SPLIT xglm_large | fROI=all | layer=12 | mean r=0.131
WITHIN-SPLIT xglm_large | fROI=all | layer=13 | mean r=0.146
WITHIN-SPLIT xglm_large | fROI=all | layer=14 | mean r=0.158
WITHIN-SPLIT xglm_large | fROI=all | layer=15 | mean r=0.172
WITHIN-SPLIT xglm_large | fROI=all | layer=16 | mean r=0.183
WITHIN-SPLIT xglm_large | fROI=all | layer=17 | mean r=0.180
WITHIN-SPLIT xglm_large | fROI=all | layer=18 | mean r=0.195
WITHIN-SPLIT xglm_large | fROI=all | layer=19 | mean r=0.176
WITHIN-SPLIT xglm_large | fROI=all | layer=20 | mean r=0.175
WITHIN-SPLIT xglm_large | fROI=all | layer=21 | mean r=0.177
WITHIN-SPLIT xglm_large | fROI=all | layer=22 | mean r=0.168
WITHIN-SPLIT xglm_large | fROI=all | layer=23 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=all | layer=24 | mean r=0.165
WITHIN-SPLIT xglm_large | fROI=all | layer=25 | mean r=0.175
WITHIN-SPLIT xglm_large | fROI=all | layer=26 | mean r=0.174
WITHIN-SPLIT xglm_large | fROI=all | layer=27 | mean r=0.187
