layer,r_mean,r_std,lang,r_transf,r_random
3,0.24871534627253977,0.09614592488183248,es,0.08709809640205333,-0.161117534346919
3,0.24871534627253977,0.09614592488183248,mr,0.06443432548953418,0.20332320848740262
3,0.24871534627253977,0.09614592488183248,af,0.10658240799419559,-0.07409228710921263
3,0.24871534627253977,0.09614592488183248,vi,0.05931537679966007,-0.0072189429329299806
3,0.24871534627253977,0.09614592488183248,ta,0.26265663997056166,-0.14017326460330282
3,0.24871534627253977,0.09614592488183248,lt,0.2847768757168894,-0.05136506152903913
3,0.24871534627253977,0.09614592488183248,tr,0.3002709211731066,-0.004364577688968727
3,0.24871534627253977,0.09614592488183248,nl,-0.026809940464911693,-0.03679316594099014
3,0.24871534627253977,0.09614592488183248,no,0.09601925342688535,-0.010154894774177093
3,0.24871534627253977,0.09614592488183248,fa,0.3193682434767902,0.11673163779780257
3,0.24871534627253977,0.09614592488183248,fr,0.017565338329485446,-0.07737584166562128
3,0.24871534627253977,0.09614592488183248,ro,0.23921565709586343,-0.08345567156966079
4,0.25759199762789176,0.0955717040418957,es,0.09531931617863407,-0.15361002183739605
4,0.25759199762789176,0.0955717040418957,mr,0.04667623169855171,0.25547425861008205
4,0.25759199762789176,0.0955717040418957,af,0.10493972630781072,-0.044130417705567575
4,0.25759199762789176,0.0955717040418957,vi,0.07218143972578678,0.0341085189030129
4,0.25759199762789176,0.0955717040418957,ta,0.2256976363684862,-0.12785380032854868
4,0.25759199762789176,0.0955717040418957,lt,0.29975472172822076,-0.028903941520386542
4,0.25759199762789176,0.0955717040418957,tr,0.28749613440822996,0.0196326371674328
4,0.25759199762789176,0.0955717040418957,nl,-0.029214307135569623,-0.047703391512716055
4,0.25759199762789176,0.0955717040418957,no,0.0888137745039134,0.009733113529895357
4,0.25759199762789176,0.0955717040418957,fa,0.33952404338077713,0.09759319619923205
4,0.25759199762789176,0.0955717040418957,fr,0.024405809445699783,-0.09307504050322743
4,0.25759199762789176,0.0955717040418957,ro,0.2474803368799112,-0.06742768409628316
5,0.2600867863685201,0.10129333451652738,es,0.07405883420098763,-0.15146645623117047
5,0.2600867863685201,0.10129333451652738,mr,0.012057440321107254,0.2959540209751912
5,0.2600867863685201,0.10129333451652738,af,0.09488658155396144,-0.13006665573340392
5,0.2600867863685201,0.10129333451652738,vi,0.08190576552616154,0.05171648515634167
5,0.2600867863685201,0.10129333451652738,ta,0.2265964122433257,-0.17651231025163908
5,0.2600867863685201,0.10129333451652738,lt,0.33312431865729175,-0.047631239962381895
5,0.2600867863685201,0.10129333451652738,tr,0.32401840499780293,0.028068820907363262
5,0.2600867863685201,0.10129333451652738,nl,-0.05719235532668539,-0.005136858861089967
5,0.2600867863685201,0.10129333451652738,no,0.09016787030560726,0.020036012163564144
5,0.2600867863685201,0.10129333451652738,fa,0.329560833023574,0.12805551695699816
5,0.2600867863685201,0.10129333451652738,fr,0.0013323156454904935,-0.07776755997824346
5,0.2600867863685201,0.10129333451652738,ro,0.2886880623627657,-0.10100413299560715
6,0.2644839268353756,0.11104943743389464,es,0.07883946011371641,-0.13907508382320694
6,0.2644839268353756,0.11104943743389464,mr,0.03727373543381434,0.32691830622730117
6,0.2644839268353756,0.11104943743389464,af,0.08872491985796109,-0.16603957294840124
6,0.2644839268353756,0.11104943743389464,vi,0.1000892176803346,0.07204192921874558
6,0.2644839268353756,0.11104943743389464,ta,0.23553530443079956,-0.19240956792502778
6,0.2644839268353756,0.11104943743389464,lt,0.3467240272087833,-0.06143225088317727
6,0.2644839268353756,0.11104943743389464,tr,0.3236551511424546,0.0840304556336479
6,0.2644839268353756,0.11104943743389464,nl,-0.0826925694432779,-0.03389313757902097
6,0.2644839268353756,0.11104943743389464,no,0.09954314841542888,0.07148334880514855
6,0.2644839268353756,0.11104943743389464,fa,0.32050024096935864,0.11649445597460337
6,0.2644839268353756,0.11104943743389464,fr,-0.018302175983853197,-0.11324677660164799
6,0.2644839268353756,0.11104943743389464,ro,0.28959813682698876,-0.09399942376949283
7,0.2844996390059226,0.1107826921034633,es,0.09391179309376903,-0.108870251169606
7,0.2844996390059226,0.1107826921034633,mr,0.02397939857709393,0.31639594136571286
7,0.2844996390059226,0.1107826921034633,af,0.09213789099343547,-0.1755890266471718
7,0.2844996390059226,0.1107826921034633,vi,0.1355057644201721,0.06239835877698785
7,0.2844996390059226,0.1107826921034633,ta,0.24036387635057363,-0.19869438340805648
7,0.2844996390059226,0.1107826921034633,lt,0.3641675977379678,-0.054049038372994636
7,0.2844996390059226,0.1107826921034633,tr,0.3059078517650141,0.048113627405409934
7,0.2844996390059226,0.1107826921034633,nl,-0.07067907241993808,0.00985198666430881
7,0.2844996390059226,0.1107826921034633,no,0.10045286452302829,0.03929975221821235
7,0.2844996390059226,0.1107826921034633,fa,0.3101040481634643,0.112524185020593
