train,model,roi,r,r_random,SE,z,p,sig
control,multiminilm,IFGorb,0.09650770609651699,0.03676639572115033,0.037899133972618536,4.321977832422042,1.5463672846075498e-05,***
control,multiminilm,MFG,0.008551144896437497,0.0312739831324391,0.044454844088634225,-1.505863471156608,0.13210222555122844,
control,multiminilm,PostTemp,0.09664472841832342,0.02714842314193479,0.03584589058994351,5.365728156184539,8.062329354662707e-08,***
main,multiminilm,AntTemp,0.048476420305675984,0.00977892563548601,0.04834338460760676,4.794833168477859,1.6281026777679317e-06,***
main,multiminilm,IFG,0.057277246582766055,-0.005281249556228659,0.055037555895391437,6.2794628610792,3.3974473786245474e-10,***
main,multiminilm,IFGorb,0.049214510113800874,0.03265753386240104,0.05318953344364005,3.0036903220503,0.002667266639784788,**
main,multiminilm,MFG,0.05791569714294558,-0.029143513824517426,0.06826077271364098,7.681921365691612,1.5672003102860706e-14,***
main,multiminilm,PostTemp,0.12487487201017686,-0.02349928079389596,0.038830125321827086,12.901147611050783,4.4344365664308147e-38,***
natstor,multiminilm,AntTemp,0.15425706256116775,-0.03013311034668121,0.05244585898033557,13.456508653670864,2.8192580160609696e-41,***
natstor,multiminilm,IFG,0.08264141531194198,0.02551991447073021,0.05399794495013847,4.384116130993996,1.1645763913002521e-05,***
natstor,multiminilm,IFGorb,0.0970777959329593,0.04682812895361372,0.04418433095068766,3.7749649825786107,0.0001600301420902916,***
natstor,multiminilm,MFG,0.05603498890716344,-0.004043538406204429,0.04694785910489086,4.8706898466886654,1.1120928957598007e-06,***
natstor,multiminilm,PostTemp,0.1876680874294223,-0.043781857812120545,0.04631247961375657,17.248433770961388,1.149740430803135e-66,***
pereira,multiminilm,AntTemp,0.07572475498304085,0.025129989777822055,0.054318283437078896,2.8329033341909837,0.004612733273311646,**
pereira,multiminilm,IFG,0.04267440364468703,0.018726216987076993,0.0379717746779439,1.485637041545018,0.13737515177169216,
pereira,multiminilm,IFGorb,0.11468819234227182,0.01784098874224014,0.056446628592874186,6.23507916580689,4.5154967790831307e-10,***
pereira,multiminilm,MFG,-0.03304808829741579,0.059119045221002454,0.03985866639447324,-6.422960965200319,1.3364877340823597e-10,***
pereira,multiminilm,PostTemp,0.03770227613283553,0.03532162810916131,0.039585390568488275,-0.1504380377031763,0.8804190329839232,
control,nllb200_1B,AntTemp,0.1624625690157111,0.02272085474350238,0.06093136595734499,10.290039495967966,7.8144313254618765e-25,***
control,nllb200_1B,IFG,0.09578006823930402,0.028049712156294246,0.03084523019720911,4.737188064214686,2.167040484691328e-06,***
control,nllb200_1B,IFGorb,0.1650927842138371,0.03913257854992045,0.049937177456738674,8.995012817845401,2.3620465022806194e-19,***
control,nllb200_1B,MFG,0.03849662170995417,-0.005662121068109831,0.025023433422651925,3.6062938846096553,0.0003106013560310722,***
control,nllb200_1B,PostTemp,0.07064228429128447,0.006425812164541538,0.02484192425257969,4.836207634741321,1.3233968472761476e-06,***
main,nllb200_1B,AntTemp,0.0663100279328323,0.003058669773539238,0.03176961872651607,4.869468976121899,1.1189854936283248e-06,***
main,nllb200_1B,IFG,0.07332073295022597,0.004120622475353919,0.04558831251091303,6.00763090643429,1.88253796068467e-09,***
main,nllb200_1B,IFGorb,0.11402841507275932,0.02803988703174741,0.029332143335544066,6.951411283048672,3.6164981526068415e-12,***
main,nllb200_1B,MFG,0.032319088021758105,-0.0049330170602250815,0.05207223383361805,2.8805188621547377,0.003970211954258089,**
main,nllb200_1B,PostTemp,0.1301655642072984,-0.006854996479969253,0.027855516058514464,10.52070320838766,6.935401129555634e-26,***
natstor,nllb200_1B,AntTemp,0.18834311014654723,-0.0072881612168940145,0.049468000209010245,15.63313610264692,4.3295910268790125e-55,***
natstor,nllb200_1B,IFG,0.07615402478622456,0.015886350648780613,0.04677574492539913,4.8900197673526735,1.0082585206509785e-06,***
natstor,nllb200_1B,IFGorb,0.10914870727253606,0.029806631139969723,0.04197845699376099,6.794474104082503,1.087083400741743e-11,***
natstor,nllb200_1B,MFG,0.043849782632823534,-0.0037207336842401883,0.05338424182852728,3.898942947595174,9.661353331668319e-05,***
natstor,nllb200_1B,PostTemp,0.16517371775187936,-0.04858996275818025,0.04479747250108689,16.405559902003887,1.745104558699484e-60,***
pereira,nllb200_1B,AntTemp,0.04979699240516669,0.03944655174033934,0.05707819367572267,-0.14281933780921033,0.88643286428024,
pereira,nllb200_1B,IFG,0.021021439478828445,0.008875417587994787,0.039984982628309955,0.45888861905832884,0.6463141519436189,
pereira,nllb200_1B,IFGorb,0.1270795262024523,0.012999851444045113,0.02976968723130084,8.045963724521503,8.5569338310307e-16,***
pereira,nllb200_1B,MFG,-0.030476662919664603,0.018346719671574363,0.056648931066370534,-3.850749060807303,0.00011775710831223715,***
