dataset,perturb_type,model,r,SE
Tuckute2024,4LocalWordSwaps,distilmbert,0.02048865424655392,0.032152142398133875
Tuckute2024,4LocalWordSwaps,infoxlm_base,0.10391847437017325,0.04326933462932716
Tuckute2024,4LocalWordSwaps,infoxlm_large,0.09757396087767585,0.04280504188875104
Tuckute2024,4LocalWordSwaps,mdeberta,0.10660090775371504,0.025340283272679554
Tuckute2024,4LocalWordSwaps,mgpt,-0.09839425113120724,0.10514464359343591
Tuckute2024,4LocalWordSwaps,mt5_base,0.09597561428985417,0.032428318524309725
Tuckute2024,4LocalWordSwaps,mt5_large,0.051741179225676864,0.03157894057037967
Tuckute2024,4LocalWordSwaps,mt5_small,0.05888641642470321,0.021658612411607037
Tuckute2024,4LocalWordSwaps,multiminilm,0.05220714654140698,0.02783966760733669
Tuckute2024,4LocalWordSwaps,nllb200_1B,0.08356301704274588,0.0538333580552581
Tuckute2024,4LocalWordSwaps,nllb200_distilled_1B,0.032482329763397565,0.034363670859911814
Tuckute2024,4LocalWordSwaps,nllb200_distilled_600M,0.015343993478431973,0.0460987853978062
Tuckute2024,4LocalWordSwaps,xglm_large,0.10183613986615683,0.04690420863911724
Tuckute2024,4LocalWordSwaps,xglm_med,0.11632767649549937,0.042365620008287475
Tuckute2024,4LocalWordSwaps,xglm_small,0.09704357950294572,0.10611187074867234
Tuckute2024,4LocalWordSwaps,xglm_xl,0.1103777837132964,0.04954242182871718
Tuckute2024,4LocalWordSwaps,xlm_align,0.10067990937237742,0.04884874820309279
Tuckute2024,4LocalWordSwaps,xlmr_base,0.10730029622491769,0.04120460127365278
Tuckute2024,4LocalWordSwaps,xlmr_large,0.0940027919267596,0.04154105072911894
Tuckute2024,5LocalWordSwaps,bert_base,0.04446608840368164,0.04504474014316143
Tuckute2024,5LocalWordSwaps,distilmbert,0.004352434952437228,0.04131980923845222
Tuckute2024,5LocalWordSwaps,infoxlm_base,0.09993588690992646,0.044793757451999344
Tuckute2024,5LocalWordSwaps,infoxlm_large,0.0786019107512354,0.04054624273575554
Tuckute2024,5LocalWordSwaps,mdeberta,0.10358437895794045,0.02742556015051231
Tuckute2024,5LocalWordSwaps,mgpt,-0.08119082573800782,0.09679330865783176
Tuckute2024,5LocalWordSwaps,mt5_base,0.08175312055988809,0.03865217563198968
Tuckute2024,5LocalWordSwaps,mt5_large,0.06747691906608264,0.047285725582444545
Tuckute2024,5LocalWordSwaps,mt5_small,0.0589901684518109,0.02266845492580401
Tuckute2024,5LocalWordSwaps,multiminilm,0.058167804836755,0.032134008263706874
Tuckute2024,5LocalWordSwaps,nllb200_1B,0.07955652246398587,0.044031689583132916
Tuckute2024,5LocalWordSwaps,nllb200_distilled_1B,0.05697332971983098,0.03408037549531449
Tuckute2024,5LocalWordSwaps,nllb200_distilled_600M,0.013180326542014262,0.05066405285806428
Tuckute2024,5LocalWordSwaps,xglm_large,0.07139433662646683,0.047733430607999304
