model,language,mrr,r,r_last
multiminilm,no,0.8589501506774997,-0.0338246344815006,0.08008270827203419
multiminilm,ro,0.8401650949534726,0.041166338217962437,0.04137514556729194
multiminilm,es,0.859448705307803,0.2049965530074542,0.19847587103567985
multiminilm,ta,0.6991815379005033,0.6691884231177484,0.5596656830637878
multiminilm,tr,0.7761497722378968,0.038129635609157796,0.12672028044569872
multiminilm,vi,0.7823353088489832,0.12512338746600837,0.18360128572836515
multiminilm,mr,0.7099634079126167,0.29474934622682814,0.34011433705540217
distilmbert,af,0.3796294781978062,0.3887717479394723,0.3887717479394723
distilmbert,nl,0.43942725194590176,0.20205896696148234,0.20205896696148234
distilmbert,fa,0.33728764634355984,0.621535080036582,0.621535080036582
distilmbert,fr,0.4512544644225137,0.4276624740061026,0.4276624740061026
distilmbert,lt,0.16721811870104952,0.3931521218055911,0.3931521218055911
distilmbert,no,0.43881116162435263,0.3042557306010618,0.3042557306010618
distilmbert,ro,0.3209870535503679,-0.0639012034702786,-0.0639012034702786
distilmbert,es,0.47494880533268874,0.32311227910819923,0.32311227910819923
distilmbert,ta,0.09181118958912754,0.6477734309754043,0.6477734309754043
distilmbert,tr,0.23184380870504528,0.29585169911397646,0.29585169911397646
distilmbert,vi,0.1732168186123485,-0.09109427290969091,-0.09109427290969091
distilmbert,mr,0.11818720887524675,-0.10759784322765288,-0.10759784322765288
